,HI_WOA,DHO,ChaoticWhale,ImprovedGA,OriginalGSKA,OriginalHGS,L_SHADE,BaseSMA,OriginalSMA,AdaptiveEO
0,598243117.7077218,1156500897.6054718,1919995099.736415,1704040718.229503,881075532.6846178,217344665.18381724,1101360972.697476,1387366094.4161506,820955478.6857586,240977758.06344196
1,598243117.7077218,354314571.6777137,1249557812.8070164,328401875.839711,881075532.6846178,74693422.35277873,420601273.7932021,1616586373.0705185,1094110783.7372923,38890404.3100279
2,511853591.9622512,224800230.65775585,630053913.504483,328401875.839711,300930117.8673112,55393402.1429802,198890621.3490742,1726093853.4380815,2350400490.957362,36625647.23232535
3,471368617.5551594,113793577.26270252,237067760.87283063,39324862.05004972,300930117.8673112,42880775.466441736,198890621.3490742,943582635.2621596,1497270308.107206,36619410.08402778
4,419767592.8348516,63533614.029724255,218829799.1722844,39324862.05004972,244955412.37242147,16354923.76789089,198890621.3490742,1197564484.9923368,1256472457.2179136,36594131.8878884
5,385230829.7233378,51963189.85128702,159603611.97566596,39324862.05004972,244955412.37242147,10328360.580226235,198890621.3490742,952198627.810984,1241266094.7960362,36574315.74115995
6,385230829.7233378,36653775.13307756,107552748.27676465,39324862.05004972,244955412.37242147,7455385.629380438,198890621.3490742,587318650.3365562,1443127797.3506095,36540285.905551285
7,372772693.1354654,14909244.093437904,49871823.5098054,39324862.05004972,244955412.37242147,6294409.065806869,198890621.3490742,999580347.6500596,1658772462.5920892,26204729.08918424
8,315809241.2498426,9061677.956277909,34256589.916167155,39324862.05004972,244955412.37242147,5294621.874473325,163480726.78048363,936103566.9491148,1353410466.820558,20359653.702192917
9,283468748.17331815,6763328.443152296,14993396.97524842,39324862.05004972,244955412.37242147,4671673.195521562,163480726.78048363,882131773.445813,499567383.1698593,20289447.89502138
10,206692726.6635775,6685424.919732327,13551289.354142897,39324862.05004972,227058148.8423268,4671673.195521562,163480726.78048363,598310875.9557602,546458968.2055485,20203093.52246281
11,206692726.6635775,6585810.58555712,10238876.599220604,39324862.05004972,105517908.9679346,4533544.414111921,148267957.92006323,688032475.7066237,1280610806.0082705,20139558.08941689
12,154960919.53053343,6542753.430043776,8909023.103561314,39324862.05004972,105517908.9679346,4205347.151599977,148267957.92006323,220624357.67496383,1395213604.1458623,20030379.30390858
13,102338540.315038,5751986.614228202,8447777.26252408,39324862.05004972,105517908.9679346,4011287.69272462,148267957.92006323,840847004.0508502,1084985996.859831,19862650.185837235
14,63272499.916722566,2915417.8886621734,6069685.122751258,39324862.05004972,105517908.9679346,3876011.313471733,148267957.92006323,712403034.4907085,1028496016.4980562,19671143.256005224
15,53514822.13104632,2917467.583094606,5011443.228601364,39324862.05004972,105517908.9679346,3625483.529644401,148267957.92006323,416494900.1048164,403920070.6581141,19465348.90087392
16,53514822.13104632,2740550.550476434,4896971.783976074,39324862.05004972,105517908.9679346,3497897.4010299705,92205090.3372627,202520806.2241257,801460108.1814628,19244123.389715664
17,53514822.13104632,2521816.0834672544,4351532.616585016,39324862.05004972,105517908.9679346,3446799.384322456,69857891.66809759,113039616.3231272,957169108.0860952,19044932.89529341
18,53514822.13104632,863941.1857206547,4138865.050131356,39324862.05004972,105517908.9679346,3372938.029576777,29927508.609537818,323828921.9432664,639837364.453566,18778892.42734199
19,53514822.13104632,787019.1072209199,4016000.618593825,39324862.05004972,105517908.9679346,3362471.657648192,29927508.609537818,1004907797.916226,103383388.08686928,18481587.94563895
20,53514822.13104632,768428.2613931089,3867758.400034097,39324862.05004972,105517908.9679346,3355632.323620804,29927508.609537818,1235608411.4903896,1385117083.2035637,18309818.98706616
21,53514822.13104632,631848.6075381548,3792885.722472732,39324862.05004972,105517908.9679346,3333736.8752704705,29073900.140663467,246071969.6692382,1353477240.961517,17979885.629384946
22,47790662.46356508,387710.8313761444,3711272.9058901817,39324862.05004972,105517908.9679346,3316962.5819332986,29073900.140663467,383070102.7593076,542478744.046725,17577980.11751853
23,47790662.46356508,376857.63381537946,3649302.112952688,39324862.05004972,105517908.9679346,3316513.648398466,29073900.140663467,444353098.8556296,986138839.0954348,17250947.363495998
24,47790662.46356508,353435.2456156559,3551465.2746388647,39324862.05004972,105517908.9679346,3310023.097687277,26530520.14322572,330467848.3912796,943167297.7886568,17109995.91845675
25,47757100.28582458,331244.49951546855,3373880.6198463016,39324862.05004972,105517908.9679346,3309013.2910970408,26530520.14322572,186244890.9071013,1233159326.714134,16395795.970295845
26,47757100.28582458,330213.2027340672,3258402.868797944,14756186.410870038,105517908.9679346,3307713.4570488594,16909234.12022957,593469115.6170689,895429643.4433337,16020165.274279242
27,47757100.28582458,324023.1291465028,3160187.687892183,14756186.410870038,52661072.77337859,3305943.0275293035,16909234.12022957,219177569.20044383,1140390924.9317243,15678114.781964146
28,47757100.28582458,318282.4584953178,3153775.3605408724,14756186.410870038,52661072.77337859,3304616.8611414344,16909234.12022957,542761315.9988991,1658772863.4508936,14844437.916102476
29,47757100.28582458,318214.4640094236,3146449.66307572,14756186.410870038,52661072.77337859,3300621.2768555777,16909234.12022957,377840025.375078,1035789405.1808784,14461222.051312605
30,44790812.63780519,314890.33924746513,3049528.3673965265,14756186.410870038,52661072.77337859,3297797.7725822814,16909234.12022957,294714252.6917829,655847283.018734,13591293.18558607
