,HI_WOA,ImprovedGA,OriginalGSKA,OriginalHGS,L_SHADE,BaseSMA,OriginalSMA,AdaptiveEO,DHO_KR
0,23927598070.33019,11345210943.340946,23295931016.17489,11648539838.963585,11262517543.373123,20161167509.020912,19765266111.509792,8470927664.117502,13437755547.309816
1,15051725687.241852,6155264073.610083,15381389958.558537,11127141288.717615,7602068767.774095,19838996467.772377,32143516719.954502,5318590727.811835,13437755547.309816
2,15051725687.241852,4388564281.88077,15381389958.558537,9304517232.813608,6949812852.250934,23001555470.87801,29903694961.71884,2753780273.482685,13437755547.309816
3,15051725687.241852,2833668424.0359683,9244909911.70204,8278686521.6412,5632787811.310223,14016221825.449783,21748646061.54652,2516284589.859088,13437755547.309816
4,15051725687.241852,2833668424.0359683,8314339528.276223,7978289092.168436,5632787811.310223,15110839405.384272,18997967787.51839,1907181974.4530632,13437755547.309816
5,15051725687.241852,2833668424.0359683,3866349207.7835855,7669670611.07806,5632787811.310223,11277322943.390757,13767101367.55024,1163544743.259087,10834399297.044527
6,15051725687.241852,2833668424.0359683,3866349207.7835855,7417530474.478286,4558011209.013673,14166329359.475794,12579659863.840212,979566298.9762363,9815629219.41243
7,15051725687.241852,2833668424.0359683,3866349207.7835855,6897395637.043122,4558011209.013673,11572988611.252497,11354912235.447289,794963154.5479265,9630152569.155062
8,15051725687.241852,2753927851.834569,3529353666.4765444,6780616930.901408,3965974676.95952,8909486557.056562,12473902529.729551,794699121.1086366,8900649732.961584
9,11184230909.006912,1695872742.2459896,2955923959.886457,6541114199.39337,3965974676.95952,10829222562.792402,19640963483.240234,794049186.1693704,7965955847.984944
10,11184230909.006912,1695872742.2459896,2323466754.6954107,4799207845.146385,1574336985.4969833,9869958639.126717,18250304897.175625,793576768.1293622,7965955847.984944
11,11184230909.006912,1695872742.2459896,2075831281.6205688,4349817210.976469,1574336985.4969833,10267320083.186178,16304686966.894136,792936341.7245656,7965955847.984944
12,11184230909.006912,1695872742.2459896,2033662134.630051,3265613194.076141,1574336985.4969833,10699715631.811718,15658526036.726456,791586114.414549,7965955847.984944
13,11184230909.006912,1695872742.2459896,1754334122.4852035,3066980503.9655533,1531833436.8654249,4815653587.224634,20179345622.68912,790025593.5055016,7965955847.984944
14,11184230909.006912,1695872742.2459896,1721956036.6135502,2803607734.413622,1531833436.8654249,6407809458.957142,20021461569.43038,789775269.8799309,7965955847.984944
15,11184230909.006912,1695872742.2459896,1143315532.1746702,2367064202.5798755,1153121088.4399462,4431133284.833051,21663212726.317265,788972090.4467151,7965955847.984944
16,11184230909.006912,1695872742.2459896,1143315532.1746702,1945577212.8400676,1084884992.7151952,6799509061.101085,17776750189.454155,787230794.279371,6925718356.47109
17,11184230909.006912,1695872742.2459896,734411290.8366188,1767983110.142966,936855757.478101,10510066763.776035,14750873890.050352,785962676.8271627,6925718356.47109
18,11184230909.006912,1695872742.2459896,695294640.161272,1615830419.0648122,764228729.3541471,8483395522.021727,19665396039.183,783909116.9201132,6925718356.47109
19,11184230909.006912,1320635541.9772582,695294640.161272,1026549239.3343158,764228729.3541471,6383064474.358826,11701459451.732716,780122940.4209388,6925718356.47109
20,11184230909.006912,1320635541.9772582,695294640.161272,828584380.6206757,762775241.2885928,4740745214.057923,11904016183.24594,777474706.9168473,6891631379.9599285
21,11184230909.006912,1320635541.9772582,522539729.5855869,699924852.0321233,530796979.10637873,5621666392.412463,10752705007.483212,776568376.6722217,6538822837.526036
22,11184230909.006912,1320635541.9772582,522539729.5855869,560523746.2467602,530796979.10637873,9977209792.05564,5685904187.548496,773223785.9334856,6538822837.526036
23,11184230909.006912,1231093754.8235874,522539729.5855869,538807758.393989,369505396.1309517,6907143855.852742,8791237372.57729,771267539.3642238,6518830763.679965
24,11184230909.006912,1231093754.8235874,522539729.5855869,524016940.27447855,323142832.0637422,5720883316.964545,8151910310.565568,768160471.1707107,4215532021.1463695
25,11184230909.006912,1231093754.8235874,522539729.5855869,509909118.4386903,323142832.0637422,5414669740.092119,8945622146.375587,765376783.7288481,4215532021.1463695
26,11184230909.006912,1231093754.8235874,522539729.5855869,494660286.99687606,103751136.58539844,8684911462.9932,11624150661.26114,760718576.7993138,4215532021.1463695
27,11184230909.006912,1231093754.8235874,466913716.6675692,465610530.0719783,103751136.58539844,7419406637.7367,12656236887.332285,757503314.3538507,4215532021.1463695
28,11184230909.006912,1231093754.8235874,425896412.91704345,463742675.8319001,103751136.58539844,8581415369.932077,11558585009.462637,753184212.7798957,2715090244.8347054
29,11184230909.006912,1231093754.8235874,425896412.91704345,447777173.21186334,103751136.58539844,6313770257.495004,11482143984.52954,749134396.1493402,2715090244.8347054
30,11184230909.006912,1231093754.8235874,366698126.3130352,442560497.4631901,103751136.58539844,3687053068.717117,16569076803.298946,488538823.5415785,2715090244.8347054
31,11184230909.006912,1231093754.8235874,273699131.024367,431550477.61530703,103751136.58539844,3261755379.945673,12790230558.270508,485230728.3040998,2715090244.8347054
32,11184230909.006912,1231093754.8235874,273699131.024367,430286956.1972852,103751136.58539844,4193609573.858991,6135980230.840866,480222864.2980667,2715090244.8347054
33,10999875804.02468,1231093754.8235874,217535657.3925527,426131269.78430486,62587062.2848091,3151220539.157772,3168926416.356574,474639000.6920151,2715090244.8347054
34,10999875804.02468,1231093754.8235874,217535657.3925527,425327129.246898,61124222.44850424,4919023146.99358,6337501695.6877575,470597364.47941154,2715090244.8347054
35,10999875804.02468,1231093754.8235874,217535657.3925527,424685342.9576125,61124222.44850424,4917773573.154574,4722878119.512307,466575251.8727361,2715090244.8347054
36,10999875804.02468,1231093754.8235874,217535657.3925527,408226750.1221798,61124222.44850424,3390173845.0569644,5772180075.584399,460803312.4549123,2715090244.8347054
37,10999875804.02468,1231093754.8235874,217535657.3925527,400529473.06643337,61124222.44850424,6076621388.213581,7990397738.435014,456044211.9326464,2715090244.8347054
38,10999875804.02468,1231093754.8235874,217535657.3925527,379047075.0863629,61124222.44850424,4024684794.6952543,9574492832.79668,449660176.998392,2715090244.8347054
39,10999875804.02468,1231093754.8235874,217535657.3925527,364075223.36159056,52315145.9846685,5770542100.1753845,7748042487.990258,444703833.3111131,2715090244.8347054
40,10557776321.715157,1231093754.8235874,217535657.3925527,353379569.8210241,52315145.9846685,8164742463.371596,6856268875.697251,441011161.3180259,2715090244.8347054
41,10557776321.715157,1231093754.8235874,136455701.80022237,326552364.03514946,52315145.9846685,5450021326.75052,7140199186.840185,436998283.7409176,2715090244.8347054
42,10557776321.715157,1231093754.8235874,136455701.80022237,318548033.33399546,52315145.9846685,4548233766.063217,6790855343.865158,430894642.725482,2715090244.8347054
43,10557776321.715157,992752709.7542,136455701.80022237,317010722.0872551,52315145.9846685,4622152965.532442,4487663167.800655,425228584.8273124,2715090244.8347054
44,10557776321.715157,992752709.7542,136455701.80022237,315481432.53098327,51552033.024932735,4001102161.57345,6816245113.94616,422665111.0100017,2715090244.8347054
