,HI_WOA,DHO,ChaoticWhale,ImprovedGA,OriginalGSKA,OriginalHGS,L_SHADE,BaseSMA,OriginalSMA,AdaptiveEO
0,39017.43949965492,274575.10643728485,75535.57606522758,42171.21802722076,23800.552486980647,40516.93342066966,43001.95994300312,48916.305120473626,50973.74573110239,27622.551351198625
1,21156.7135757087,23045.75566880511,75433.61749406988,36517.57177044325,23800.552486980647,40079.97200940582,43001.95994300312,109484.8933623802,6487659.062320452,27622.35546428585
2,19130.33293327799,22977.30699038884,71895.88465436673,36517.57177044325,21656.8664044466,40031.02616786768,43001.95994300312,107546.6921147056,112123.59220156303,24461.845221157942
3,19130.33293327799,22965.323913155076,68219.65187134348,36517.57177044325,21656.8664044466,31474.920473069476,24806.727378030017,102464.8258594134,1894187.453756248,24461.636935954244
4,19044.42296125642,22965.287685370567,67889.86692059891,36517.57177044325,21656.8664044466,16924.135058898355,24806.727378030017,114671.97060148718,89537.19963525087,24461.07804998779
5,19044.42296125642,22169.92659741687,65410.049036323886,18704.8899221869,21656.8664044466,16693.885254763616,24806.727378030017,262642.1010623188,122869.20346249297,24460.35964905846
6,19044.42296125642,21955.314376108003,61963.97293449505,18704.8899221869,21656.8664044466,16664.305812722625,24806.727378030017,111390.45255913574,173483.42632794555,23044.522823999872
7,19044.42296125642,21723.623130964224,57425.2711635386,18704.8899221869,21656.8664044466,16663.04001779667,24806.727378030017,106510.52936845335,182865.30838575284,23042.358421353558
8,19044.42296125642,20001.13362166809,55707.7085395642,18704.8899221869,21656.8664044466,16658.841904685265,24806.727378030017,110802.6663850079,408400.4723533896,23036.65912865354
9,19044.42296125642,19976.014776660813,55348.0410920619,18704.8899221869,21656.8664044466,16655.01497343409,20764.97751765239,131055.42133832924,278594.29265601304,23031.540162733625
10,19044.42296125642,17699.131449601737,54967.02440000093,18704.8899221869,21656.8664044466,16652.604328468915,20648.75070286954,103514.75143129544,65882.29489079806,23024.474308618537
11,19044.42296125642,17679.392220068414,54736.9651042932,18704.8899221869,21656.8664044466,16631.57042937672,20648.75070286954,66834.40612641934,175010.52304808257,23016.95440983656
12,19044.42296125642,17579.82628113015,54353.46678528289,18704.8899221869,21656.8664044466,16625.804120999688,18568.855358916087,222089.5878640267,88847.57633765615,23007.9542757593
13,19044.42296125642,17568.891776314886,54257.40272697916,18704.8899221869,21656.8664044466,16602.396382549116,18568.855358916087,95971.60973113446,110710.4884353,22996.321911012503
14,19044.42296125642,17571.94737872054,53569.50930080464,18704.8899221869,21656.8664044466,16599.042195564627,18568.855358916087,59096.04496210599,90323.61342137706,22991.908079494187
15,19044.42296125642,17376.42577880042,51792.47628807661,18704.8899221869,21656.8664044466,16593.70312310483,18568.855358916087,61421.36479711557,83514.56725951246,22981.444318549093
16,19044.42296125642,16420.68630777007,50472.304259589735,18704.8899221869,21656.8664044466,16592.97213324222,18568.855358916087,77201.44069302097,66318.34545237506,22975.050705175992
17,19044.42296125642,16411.236659060232,50174.624123923866,18704.8899221869,21656.8664044466,16563.78315579053,18568.855358916087,60403.02168082704,72841.74410356881,22966.58844734928
18,19044.42296125642,16236.199275787352,48938.70686633414,18704.8899221869,21656.8664044466,16546.86416117046,15374.923965873306,64120.04490936381,1027463.1623883656,22963.373735922003
19,19044.42296125642,16224.22062266312,48528.3724619879,15090.363363516515,21656.8664044466,16510.45183456369,15374.923965873306,57992.94893643769,210807.2040288176,22956.88680705788
20,19044.42296125642,16198.210194522828,48119.45547020048,15090.363363516515,21656.8664044466,16444.29992021776,15374.923965873306,63379.67678003214,243016.20792866455,22951.94597199494
21,19044.42296125642,14790.546726062312,47871.93657122907,15090.363363516515,21656.8664044466,16244.05696427092,15374.923965873306,57515.66282265568,97062.47773033712,22945.241036698048
22,19044.42296125642,14781.224663057485,47653.1751318075,15090.363363516515,21656.8664044466,16017.742590616446,15374.923965873306,52335.89414200234,102067.22038178604,22096.254622845056
23,19044.42296125642,14580.925260010134,47355.487730502864,9821.835029735725,21656.8664044466,14780.980852076656,15005.359630074692,131928.06635713184,66361.45099031947,22092.67017599023
24,19044.42296125642,13964.967294854776,46933.27066485975,9821.835029735725,21656.8664044466,13799.092695877936,15005.359630074692,44267.54739262885,120149.57423241274,22087.355386907904
25,19044.42296125642,13120.29203375806,46372.92019409634,9821.835029735725,21656.8664044466,13587.738971467674,15005.359630074692,49162.58430359084,203629.173960691,22077.28280288758
26,17138.87506062237,14265.73117268219,46092.69238679568,9821.835029735725,21656.8664044466,13285.000045087343,15005.359630074692,44472.264817301046,79722.37028807873,22073.44596663043
27,17138.87506062237,11229.847123061623,45148.2362891698,9821.835029735725,21656.8664044466,13266.012655098357,15005.359630074692,53928.64303369418,239825.5162642621,21551.50228872583
28,16850.984722541256,11204.08700580793,44835.95681067867,9821.835029735725,21656.8664044466,12760.043101130424,15005.359630074692,57157.34770553993,197351.321241642,21546.858466257647
29,16699.27924810576,10772.735600223668,44517.8353369582,9821.835029735725,21656.8664044466,12411.881715212152,15005.359630074692,51164.64560293903,179570.15232350113,21538.88221817136
30,16699.27924810576,10713.131067481669,44360.30719138587,9821.835029735725,21656.8664044466,12375.807680456575,11134.787448548735,52011.43293279431,82992.91070766198,21528.321805287
31,16699.27924810576,10354.843733588024,44247.37533335629,9821.835029735725,21656.8664044466,12363.667894617573,11134.787448548735,245616.3564411003,95790.58584863172,21516.49333960865
32,16699.27924810576,10276.283506120664,44046.59633136344,9821.835029735725,21656.8664044466,12288.078849374702,11134.787448548735,83918.93821790269,195566.0729942043,21508.136479371715
33,16699.27924810576,10091.440603897056,43563.80699524991,9821.835029735725,21656.8664044466,12254.672090048922,11134.787448548735,95420.77233040988,201165.258132984,21493.089599348645
34,16694.05484230386,9748.56457595688,43271.4798354229,9821.835029735725,21656.8664044466,12237.604385641884,11134.787448548735,74543.30131840584,113758.7643416686,21484.02969799904
35,16694.05484230386,9244.499732300505,42663.315377642735,9821.835029735725,21656.8664044466,12224.100586062685,11134.787448548735,81977.74443505128,41191.65683345337,21476.740229528103
36,16694.05484230386,9239.29010371004,41927.41931009832,9821.835029735725,21656.8664044466,12074.852561795124,11134.787448548735,82088.93162460346,59602.97170612775,21463.07143146903
37,16694.05484230386,9124.311069104093,40040.313447336375,9821.835029735725,21656.8664044466,11996.619997795262,11134.787448548735,84212.35075929607,83104.07653211342,21450.52450304964
38,16609.482140188316,9066.214306818356,36447.33853205287,9821.835029735725,21656.8664044466,11768.521908510576,9272.117085578484,77406.20289003909,3681979.4387663314,21435.26485368161
39,16586.672731993145,8507.260509977275,34246.09222817181,9821.835029735725,21656.8664044466,11244.8420598978,9272.117085578484,73817.78157529511,60029.99116107985,21421.11798333812
40,16586.672731993145,6060.737525142045,34005.485931675226,9821.835029735725,21656.8664044466,11232.296326426962,9272.117085578484,90718.54823798052,79937.03213789988,21411.325232309453
41,16269.29644309075,6039.131570229784,33619.59447858837,9821.835029735725,21656.8664044466,11160.033819707274,8517.470863569131,91677.13516590532,90431.83144869973,21404.6473575387
42,16269.29644309075,6120.265969195947,32905.37657558907,9821.835029735725,21656.8664044466,10791.319051954695,8517.470863569131,76422.04229723365,81421.82801989264,21383.425245778257
43,16269.29644309075,6011.629404908566,32724.350624675382,9821.835029735725,21656.8664044466,10261.581214952588,8517.470863569131,60031.07469815214,87885.37440502118,21373.29885016292
44,16269.29644309075,6018.106523547585,32689.57084639857,9821.835029735725,21656.8664044466,10025.246108286625,8517.470863569131,64154.88181362456,65503.19094106764,21359.050032015657
45,16269.29644309075,6011.601657464743,32662.765740535557,9821.835029735725,21656.8664044466,9972.454410106042,8517.470863569131,84529.8002083612,101919.21976593642,21344.34770339747
