Running on function = f1, alggorithm = JSO, D = 10, trial 0
Running on function = f0, alggorithm = JSO, D = 10, trial 5
Running on function = f3, alggorithm = JSO, D = 10, trial 1
Running on function = f2, alggorithm = JSO, D = 10, trial 9
Running on function = f3, alggorithm = JSO, D = 10, trial 0
Running on function = f4, alggorithm = JSO, D = 10, trial 4
Running on function = f3, alggorithm = JSO, D = 10, trial 7
Running on function = f2, alggorithm = JSO, D = 10, trial 6
Running on function = f3, alggorithm = JSO, D = 10, trial 6
Running on function = f1, alggorithm = JSO, D = 10, trial 3
Running on function = f1, alggorithm = JSO, D = 10, trial 6
Running on function = f8, alggorithm = JSO, D = 10, trial 0
Running on function = f8, alggorithm = JSO, D = 10, trial 1
Running on function = f1, alggorithm = JSO, D = 10, trial 2
Running on function = f8, alggorithm = JSO, D = 10, trial 2
Running on function = f8, alggorithm = JSO, D = 10, trial 3
Running on function = f3, alggorithm = JSO, D = 10, trial 8
Running on function = f2, alggorithm = JSO, D = 10, trial 1
Running on function = f8, alggorithm = JSO, D = 10, trial 4
Running on function = f8, alggorithm = JSO, D = 10, trial 5
Running on function = f1, alggorithm = JSO, D = 10, trial 5
Running on function = f8, alggorithm = JSO, D = 10, trial 6
Running on function = f8, alggorithm = JSO, D = 10, trial 7
Running on function = f8, alggorithm = JSO, D = 10, trial 8
Running on function = f8, alggorithm = JSO, D = 10, trial 9
Running on function = f9, alggorithm = JSO, D = 10, trial 0
Running on function = f1, alggorithm = JSO, D = 10, trial 8
Running on function = f9, alggorithm = JSO, D = 10, trial 1
Running on function = f1, alggorithm = JSO, D = 10, trial 9
Running on function = f9, alggorithm = JSO, D = 10, trial 2
Running on function = f3, alggorithm = JSO, D = 10, trial 4
Running on function = f9, alggorithm = JSO, D = 10, trial 3
Running on function = f0, alggorithm = JSO, D = 10, trial 2
Running on function = f9, alggorithm = JSO, D = 10, trial 4
Running on function = f9, alggorithm = JSO, D = 10, trial 5
Running on function = f1, alggorithm = JSO, D = 10, trial 4
